store,item,date,current_sales,baseline_sales,uplift_pct,uplift_amount,performance_category,performance_by_amount,is_top_performer,is_underperformer,has_actual_data
2,35,2019-01-01,84.66265060240964,76.19638554216868,11.11,8.47,Average Performer,$+8.47 (+11.1% from baseline),False,False,True
8,25,2019-01-01,99.24479737130339,89.32031763417305,11.11,9.92,Average Performer,$+9.92 (+11.1% from baseline),False,False,True
2,26,2019-01-01,61.10350492880613,54.99315443592552,11.11,6.11,Average Performer,$+6.11 (+11.1% from baseline),False,False,True
6,33,2019-01-01,52.67250821467689,47.4052573932092,11.11,5.27,Average Performer,$+5.27 (+11.1% from baseline),False,False,True
6,28,2019-01-01,66.460569550931,59.8145125958379,11.11,6.65,Average Performer,$+6.65 (+11.1% from baseline),False,False,True
9,48,2019-01-01,53.976998904709745,48.57929901423877,11.11,5.4,Average Performer,$+5.40 (+11.1% from baseline),False,False,True
9,8,2019-01-01,81.28751369112815,73.15876232201533,11.11,8.13,Average Performer,$+8.13 (+11.1% from baseline),False,False,True
2,38,2019-01-01,103.24917853231106,92.92426067907996,11.11,10.32,Average Performer,$+10.32 (+11.1% from baseline),False,False,True
4,8,2019-01-01,80.81982475355969,72.73784227820371,11.11,8.08,Average Performer,$+8.08 (+11.1% from baseline),False,False,True
2,43,2019-01-01,65.78532311062432,59.20679079956189,11.11,6.58,Average Performer,$+6.58 (+11.1% from baseline),False,False,True
7,50,2019-01-01,45.8236582694414,41.24129244249726,11.11,4.58,Average Performer,$+4.58 (+11.1% from baseline),False,False,True
6,18,2019-01-01,63.72562979189485,57.35306681270537,11.11,6.37,Average Performer,$+6.37 (+11.1% from baseline),False,False,True
8,19,2019-01-01,49.446878422782035,44.502190580503836,11.11,4.94,Average Performer,$+4.94 (+11.1% from baseline),False,False,True
3,12,2019-01-01,79.08378970427164,71.17541073384447,11.11,7.91,Average Performer,$+7.91 (+11.1% from baseline),False,False,True
3,41,2019-01-01,24.98904709748083,22.49014238773275,11.11,2.5,Average Performer,$+2.50 (+11.1% from baseline),False,False,True
4,21,2019-01-01,42.29463307776561,38.06516976998905,11.11,4.23,Average Performer,$+4.23 (+11.1% from baseline),False,False,True
3,40,2019-01-01,33.56900328587076,30.212102957283683,11.11,3.36,Average Performer,$+3.36 (+11.1% from baseline),False,False,True
5,15,2019-01-01,66.98740416210296,60.28866374589267,11.11,6.7,Average Performer,$+6.70 (+11.1% from baseline),False,False,True
